"행정구역별","유형별","항목","단위","2024 년",
"중구","주택유형","면적[천㎡]","천㎡","109",
"중구","단독주택","동(호)수[동(호)수]","동(호)수","197",
"중구","단독주택","면적[천㎡]","천㎡","20",
"중구","다가구주택","동(호)수[동(호)수]","동(호)수","23",
"중구","다가구주택","면적[천㎡]","천㎡","4",
"중구","다세대주택","동(호)수[동(호)수]","동(호)수","337",
"중구","다세대주택","면적[천㎡]","천㎡","12",
"중구","연립주택","동(호)수[동(호)수]","동(호)수","53",
"중구","연립주택","면적[천㎡]","천㎡","4",
"중구","아파트","동(호)수[동(호)수]","동(호)수","955",
"중구","아파트","면적[천㎡]","천㎡","70",
"용산구","매입자거주지","동(호)수[동(호)수]","동(호)수","3025",
"용산구","매입자거주지","면적[천㎡]","천㎡","249",
"용산구","관할 시군구내","동(호)수[동(호)수]","동(호)수","723",
"용산구","관할 시군구내","면적[천㎡]","천㎡","69",
"용산구","관할 시도내","동(호)수[동(호)수]","동(호)수","1335",
"용산구","관할 시도내","면적[천㎡]","천㎡","110",
"용산구","관할 시도외 서울","동(호)수[동(호)수]","동(호)수","0",
"용산구","관할 시도외 서울","면적[천㎡]","천㎡","0",
"용산구","관할 시도외 기타","동(호)수[동(호)수]","동(호)수","967",
"용산구","관할 시도외 기타","면적[천㎡]","천㎡","70",
"용산구","거래주체","동(호)수[동(호)수]","동(호)수","3025",
"용산구","거래주체","면적[천㎡]","천㎡","249",
"용산구","개인->개인","동(호)수[동(호)수]","동(호)수","2503",
"용산구","개인->개인","면적[천㎡]","천㎡","203",
"용산구","개인->법인","동(호)수[동(호)수]","동(호)수","69",
"용산구","개인->법인","면적[천㎡]","천㎡","15",
"용산구","개인->기타","동(호)수[동(호)수]","동(호)수","8",
"용산구","개인->기타","면적[천㎡]","천㎡","1",
"용산구","법인->개인","동(호)수[동(호)수]","동(호)수","281",
"용산구","법인->개인","면적[천㎡]","천㎡","15",
"용산구","법인->법인","동(호)수[동(호)수]","동(호)수","25",
"용산구","법인->법인","면적[천㎡]","천㎡","4",
"용산구","법인->기타","동(호)수[동(호)수]","동(호)수","17",
"용산구","법인->기타","면적[천㎡]","천㎡","1",
"용산구","기타->개인","동(호)수[동(호)수]","동(호)수","90",
"용산구","기타->개인","면적[천㎡]","천㎡","9",
"용산구","기타->법인","동(호)수[동(호)수]","동(호)수","1",
"용산구","기타->법인","면적[천㎡]","천㎡","1",
"용산구","기타->기타","동(호)수[동(호)수]","동(호)수","31",
"용산구","기타->기타","면적[천㎡]","천㎡","1",
"용산구","거래규모","동(호)수[동(호)수]","동(호)수","3025",
"용산구","거래규모","면적[천㎡]","천㎡","249",
"용산구","20㎡이하","동(호)수[동(호)수]","동(호)수","247",
"용산구","20㎡이하","면적[천㎡]","천㎡","3",
"용산구","21~40㎡","동(호)수[동(호)수]","동(호)수","738",
"용산구","21~40㎡","면적[천㎡]","천㎡","21",
"용산구","41~60㎡","동(호)수[동(호)수]","동(호)수","658",
"용산구","41~60㎡","면적[천㎡]","천㎡","36",
"용산구","61~85㎡","동(호)수[동(호)수]","동(호)수","485",
"용산구","61~85㎡","면적[천㎡]","천㎡","38",
"용산구","86~100㎡","동(호)수[동(호)수]","동(호)수","74",
"용산구","86~100㎡","면적[천㎡]","천㎡","7",
"용산구","101~135㎡","동(호)수[동(호)수]","동(호)수","338",
"용산구","101~135㎡","면적[천㎡]","천㎡","39",
"용산구","136~165㎡","동(호)수[동(호)수]","동(호)수","181",
"용산구","136~165㎡","면적[천㎡]","천㎡","27",
"용산구","166~198㎡","동(호)수[동(호)수]","동(호)수","99",
"용산구","166~198㎡","면적[천㎡]","천㎡","18",
"용산구","198㎡초과","동(호)수[동(호)수]","동(호)수","205",
"용산구","198㎡초과","면적[천㎡]","천㎡","61",
"용산구","거래원인","동(호)수[동(호)수]","동(호)수","3025",
"용산구","거래원인","면적[천㎡]","천㎡","249",
"용산구","매매","동(호)수[동(호)수]","동(호)수","2311",
"용산구","매매","면적[천㎡]","천㎡","203",
"용산구","판결","동(호)수[동(호)수]","동(호)수","58",
"용산구","판결","면적[천㎡]","천㎡","3",
"용산구","교환","동(호)수[동(호)수]","동(호)수","9",
"용산구","교환","면적[천㎡]","천㎡","1",
"용산구","증여","동(호)수[동(호)수]","동(호)수","259",
"용산구","증여","면적[천㎡]","천㎡","19",
"용산구","분양권","동(호)수[동(호)수]","동(호)수","0",
"용산구","분양권","면적[천㎡]","천㎡","0",
"용산구","분양권전매","동(호)수[동(호)수]","동(호)수","1",
"용산구","분양권전매","면적[천㎡]","천㎡","0",
"용산구","기타","동(호)수[동(호)수]","동(호)수","0",
"용산구","기타","면적[천㎡]","천㎡","0",
"용산구","기타소유권이전","동(호)수[동(호)수]","동(호)수","387",
"용산구","기타소유권이전","면적[천㎡]","천㎡","24",
"용산구","주택유형","동(호)수[동(호)수]","동(호)수","3025",
"용산구","주택유형","면적[천㎡]","천㎡","249",
"용산구","단독주택","동(호)수[동(호)수]","동(호)수","320",
"용산구","단독주택","면적[천㎡]","천㎡","41",
"용산구","다가구주택","동(호)수[동(호)수]","동(호)수","109",
"용산구","다가구주택","면적[천㎡]","천㎡","23",
"용산구","다세대주택","동(호)수[동(호)수]","동(호)수","1140",
"용산구","다세대주택","면적[천㎡]","천㎡","43",
"용산구","연립주택","동(호)수[동(호)수]","동(호)수","161",
"용산구","연립주택","면적[천㎡]","천㎡","17",
"용산구","아파트","동(호)수[동(호)수]","동(호)수","1295",
"용산구","아파트","면적[천㎡]","천㎡","125",
"성동구","매입자거주지","동(호)수[동(호)수]","동(호)수","5650",
"성동구","매입자거주지","면적[천㎡]","천㎡","412",
"성동구","관할 시군구내","동(호)수[동(호)수]","동(호)수","1423",
"성동구","관할 시군구내","면적[천㎡]","천㎡","118",
"성동구","관할 시도내","동(호)수[동(호)수]","동(호)수","2951",
"성동구","관할 시도내","면적[천㎡]","천㎡","202",
"성동구","관할 시도외 서울","동(호)수[동(호)수]","동(호)수","0",
"성동구","관할 시도외 서울","면적[천㎡]","천㎡","0",
"성동구","관할 시도외 기타","동(호)수[동(호)수]","동(호)수","1276",
"성동구","관할 시도외 기타","면적[천㎡]","천㎡","92",
"성동구","거래주체","동(호)수[동(호)수]","동(호)수","5650",
"성동구","거래주체","면적[천㎡]","천㎡","412",
"성동구","개인->개인","동(호)수[동(호)수]","동(호)수","4050",
"성동구","개인->개인","면적[천㎡]","천㎡","290",
"성동구","개인->법인","동(호)수[동(호)수]","동(호)수","59",
