행정구역별,유형별,항목,단위,2020 년,2021 년,2022 년,2023 년,2024 년
종로구,다세대주택,동(호)수[동(호)수],동(호)수,943,898,439,334,327
종로구,다세대주택,면적[천㎡],천㎡,47,46,24,18,17
종로구,연립주택,동(호)수[동(호)수],동(호)수,415,348,169,102,188
종로구,연립주택,면적[천㎡],천㎡,38,29,13,11,16
종로구,아파트,동(호)수[동(호)수],동(호)수,1181,838,345,394,580
종로구,아파트,면적[천㎡],천㎡,92,51,21,28,44
중구,매입자거주지,동(호)수[동(호)수],동(호)수,3399,2626,1806,1235,1565
중구,매입자거주지,면적[천㎡],천㎡,230,163,96,88,109
중구,관할 시군구내,동(호)수[동(호)수],동(호)수,751,772,475,333,421
중구,관할 시군구내,면적[천㎡],천㎡,63,54,28,26,34
중구,관할 시도내,동(호)수[동(호)수],동(호)수,1726,1284,1008,575,779
중구,관할 시도내,면적[천㎡],천㎡,111,78,51,40,54
중구,관할 시도외 서울,동(호)수[동(호)수],동(호)수,0,0,0,0,0
중구,관할 시도외 서울,면적[천㎡],천㎡,0,0,0,0,0
중구,관할 시도외 기타,동(호)수[동(호)수],동(호)수,922,570,323,327,365
중구,관할 시도외 기타,면적[천㎡],천㎡,56,30,18,22,21
중구,거래주체,동(호)수[동(호)수],동(호)수,3399,2626,1806,1235,1565
중구,거래주체,면적[천㎡],천㎡,230,163,96,88,109
중구,개인->개인,동(호)수[동(호)수],동(호)수,2201,1578,876,1048,1350
중구,개인->개인,면적[천㎡],천㎡,169,112,46,74,94
중구,개인->법인,동(호)수[동(호)수],동(호)수,191,99,97,77,73
중구,개인->법인,면적[천㎡],천㎡,17,12,11,9,8
중구,개인->기타,동(호)수[동(호)수],동(호)수,16,41,33,25,12
중구,개인->기타,면적[천㎡],천㎡,3,2,1,1,0
중구,법인->개인,동(호)수[동(호)수],동(호)수,930,634,502,70,98
중구,법인->개인,면적[천㎡],천㎡,38,22,25,3,4
중구,법인->법인,동(호)수[동(호)수],동(호)수,16,22,52,10,5
중구,법인->법인,면적[천㎡],천㎡,1,4,2,1,1
중구,법인->기타,동(호)수[동(호)수],동(호)수,26,241,225,0,0
중구,법인->기타,면적[천㎡],천㎡,1,9,9,0,0
중구,기타->개인,동(호)수[동(호)수],동(호)수,17,6,16,4,5
중구,기타->개인,면적[천㎡],천㎡,1,0,1,0,0
중구,기타->법인,동(호)수[동(호)수],동(호)수,0,0,2,1,1
중구,기타->법인,면적[천㎡],천㎡,0,0,0,0,0
중구,기타->기타,동(호)수[동(호)수],동(호)수,2,5,3,0,21
중구,기타->기타,면적[천㎡],천㎡,0,1,0,0,1
중구,거래규모,동(호)수[동(호)수],동(호)수,3399,2626,1806,1235,1565
중구,거래규모,면적[천㎡],천㎡,230,163,96,88,109
중구,20㎡이하,동(호)수[동(호)수],동(호)수,218,262,140,161,153
중구,20㎡이하,면적[천㎡],천㎡,3,4,2,2,2
